id,judul,genre,sinopsis
1,Cowboy Bebop,"Action, Award Winning, Sci-Fi","Kejahatan tidak lekang oleh waktu. Pada tahun 2071, umat manusia telah berkembang melintasi galaksi, memenuhi permukaan planet lain dengan pemukiman seperti yang ada di Bumi. Masyarakat baru ini dilanda pembunuhan, penggunaan narkoba, dan pencurian, dan penjahat antargalaksi diburu oleh semakin banyak pemburu hadiah tangguh.

Spike Spiegel dan Jet Black mengejar penjahat di seluruh ruang angkasa untuk mencari nafkah. Di balik sikapnya yang konyol dan menyendiri, Spike dihantui oleh beban masa lalunya yang penuh kekerasan. Sementara itu, Jet mengelola ingatannya yang bermasalah saat merawat Spike dan Bebop, kapal mereka. Duo ini bergabung dengan penipu cantik Faye Valentine, anak aneh Edward Wong Hau Pepelu Tivrusky IV, dan Ein, Welsh Corgi yang direkayasa secara biologis.

Saat mengembangkan ikatan dan berupaya menangkap sejumlah penjahat, kehidupan kru Bebop terganggu oleh ancaman dari masa lalu Spike. Ketika plot gila saingannya terus terungkap, Spike harus memilih antara hidup bersama keluarga barunya atau membalas dendam atas luka lamanya."
5,Cowboy Bebop: Tengoku no Tobira,"Action, Sci-Fi","Di hari lain, hadiah lain—begitulah kehidupan kru Bebop yang seringkali tidak beruntung. Namun, rutinitas ini terhenti ketika Faye, yang sedang mengejar target yang tidak berharga di Mars, menyaksikan sebuah kapal tanker minyak tiba-tiba meledak sehingga menimbulkan histeria massal. Ketika jumlah korban meningkat karena penyakit aneh yang menyebar melalui asap ledakan, harga tiga ratus juta woolong dikenakan untuk kepala orang yang diduga pelakunya.

Saat nyawa dipertaruhkan dan solusi atas masalah keuangan mereka sudah di depan mata, kru Bebop segera bertindak. Spike, Jet, Faye, dan Edward, diikuti oleh Ein, berpencar untuk mengejar petunjuk berbeda di Kota Alba. Melalui penyelidikan masing-masing, mereka menemukan skema menutup-nutupi yang melibatkan perusahaan farmasi, mengungkap plot yang menjangkau lebih jauh dari yang bisa disadari oleh tim pemburu hadiah."
6,Trigun,"Action, Adventure, Sci-Fi","Vash the Stampede adalah pria dengan hadiah $$60,000,000,000 untuk kepalanya. Alasannya: dia adalah penjahat tanpa ampun yang menghancurkan semua orang yang menentangnya dan meratakan seluruh kota demi bersenang-senang, memberinya gelar ""Topan Humanoid"". Dia meninggalkan jejak kematian dan kehancuran kemana pun dia pergi, dan siapa pun bisa dianggap mati jika mereka sering melakukan kontak mata—atau begitulah rumor yang beredar. Faktanya, Vash adalah seorang softie yang mengaku tidak pernah mengambil nyawa dan menghindari kekerasan dengan cara apa pun.

Dengan obsesinya yang gila terhadap donat dan sikap badutnya, Vash melintasi gurun di planet Gunsmoke, sambil diikuti oleh dua agen asuransi, Meryl Stryfe dan Milly Thompson, yang berupaya meminimalkan dampaknya terhadap publik. Namun tak lama kemudian, kesialan mereka berkembang menjadi situasi hidup atau mati ketika sekelompok pembunuh legendaris dipanggil untuk membawa penderitaan pada ketiganya. Masa lalu Vash yang penuh penderitaan akan terungkap dan moralitas serta prinsip-prinsipnya akan mencapai titik puncaknya."
7,Witch Hunter Robin,"Action, Drama, Mystery, Supernatural","Robin Sena adalah pengguna kerajinan kuat yang bergabung dengan STNJ—sekelompok pemburu khusus yang melawan makhluk mematikan yang dikenal sebagai Penyihir. Meskipun kekuatan apinya hebat, dia harus banyak belajar tentang kekuatannya dan bekerja dengan rekannya yang keren dan penyendiri, Amon. Tapi kebenaran tentang para Penyihir dan dirinya sendiri akan membuat Robin berada di jalur baru yang tidak pernah dia duga!

(Sumber: Funimasi)"
8,Bouken Ou Beet,"Adventure, Fantasy, Supernatural","Ini adalah abad kegelapan dan orang-orang menderita di bawah kekuasaan iblis, Vandel, yang mampu memanipulasi monster. Vandel Busters adalah sekelompok orang yang memburu iblis-iblis ini, dan di antara mereka, Pasukan Zenon dikenal sebagai penghancur terkuat di benua itu. Seorang anak laki-laki, Beet, bermimpi bergabung dengan Pasukan Zenon. Namun, suatu hari, akibat kesalahan Beet, pasukan Zenon dikalahkan oleh iblis, Beltose. Lima penghancur yang sekarat mengorbankan kekuatan hidup mereka ke dalam lima senjata mereka, Saiga. Setelah memberikan senjatanya kepada Beet, mereka meninggal. Bertahun-tahun telah berlalu sejak itu dan Vandel Buster muda, Beet, memulai petualangannya untuk melaksanakan keinginan Pasukan Zenon untuk mengakhiri abad kegelapan."
15,Eyeshield 21,Sports,"Pemalu, pendiam, dan bertubuh kecil, siswa SMA Deimon Sena Kobayakawa adalah target sempurna bagi para penindas. Namun, karena menjalankan tugas sepanjang hidupnya, Sena menjadi gesit dan mengembangkan keterampilan menghindari kerumunan orang. Setelah Youichi Hiruma yang licik—kapten tim sepak bola Deimon Devil Bats—menyaksikan gerak cepat Sena, dia memaksa bocah pemalu itu untuk bergabung dengan pasukannya.

Karena Hiruma ingin menyembunyikan identitas Sena dari klub lain, Sena terpaksa bersembunyi di balik helm ""Eyeshield 21"", seorang punggung misterius yang mengenakan nomor punggung 21. Eyeshield 21 yang legendaris konon dapat berlari dengan kecepatan cahaya dan telah mencapai prestasi luar biasa di Amerika Serikat selama berada di Notre Dame College.

Terbiasa menghindari masalahnya di masa lalu, keahlian khusus Sena mungkin bisa membantunya menjadi senjata rahasia baru Kelelawar Iblis Deimon. Saat dia berinteraksi dengan rekan satu timnya, Sena secara bertahap mendapatkan lebih banyak kepercayaan diri dan menjalin ikatan yang berharga di sepanjang jalan."
16,Hachimitsu to Clover,"Comedy, Drama, Romance","Yuuta Takemoto, seorang mahasiswa tahun kedua di sebuah perguruan tinggi seni, berbagi apartemen murah dengan dua senior—Shinobu Morita yang eksentrik, yang terus gagal lulus karena ketidakhadirannya, dan Takumi Mayama yang bijaksana, yang bertindak sebagai senior yang tepat bagi Takemoto, sering kali menjaganya.

Takemoto tidak terlalu memikirkan masa depannya sampai suatu hari di musim semi yang cerah, ketika dia bertemu dengan Hagumi Hanamoto yang menawan dan jatuh cinta pada pandangan pertama. Sangat berbakat dalam bidang seni, Hagumi mendaftar di universitas Takemoto dan segera berteman dengan mahasiswa tembikar populer Ayumi Yamada. Ayumi sudah mengenal baik ketiga teman satu flatnya dan diam-diam memendam perasaan mendalam terhadap salah satu dari mereka.

Hachimitsu to Clover adalah kisah mengharukan tentang masa muda, cinta, pencarian jiwa, dan penemuan jati diri, yang terjalin secara rumit melalui hubungan kompleks antara lima sahabat baik."
17,Hungry Heart: Wild Striker,"Comedy, Slice of Life, Sports","Sebagai adik dari bintang sepak bola Jepang Seisuke Kanou, Kyousuke selalu diharapkan untuk tumbuh sebagai pemain sepak bola dengan kecepatan yang sama dengan kakaknya—sebuah harapan yang terbukti terlalu sulit untuk dipenuhi. Sempat tertinggal, kini ia hidup di bawah bayang-bayang kesuksesan kakaknya.

Memasuki tahun pertamanya di SMA Jouyou Akanegaoka, Kyousuke bersumpah tidak akan pernah bermain sepak bola lagi. Namun, Miki Tsujiwaki, kapten tim sepak bola putri, dan Mori Kazuto, manajer tim putra, menyadari potensi Kyousuke dan ingin melihatnya kembali ke permainan karena alasan mereka sendiri.

Dengan kesempatan untuk bermain sepak bola lagi, Kyousuke harus tetap teguh pada keputusannya untuk meninggalkan olahraga yang pernah dia sukai, atau membiarkan dirinya menyalakan kembali api itu untuk menjadi striker terbaik di dunia."
18,Initial D Fourth Stage,"Action, Drama","Takumi Fujiwara akhirnya bergabung dengan Ryousuke dan Keisuke Takahashi untuk membuat ""Project D."" Tujuan mereka ada dua: Ryousuke ingin mengembangkan ""Teori Balap Jalanan Berkecepatan Tinggi"", sementara Keisuke dan Takumi bertujuan untuk meningkatkan keterampilan mengemudi mereka dengan menghadapi lawan yang kuat di jalan berbahaya. Ide Proyek D adalah untuk menantang tim balap jalanan dari prefektur lain untuk meningkatkan rekor menanjak dan menurun. Untuk menarik perhatian tim balap terbaik, Ryousuke membuat situs web khusus untuk mengumumkan pertempuran Proyek D di masa depan dan memposting hasil tim.

Musim keempat Initial D merinci kesulitan dan keberhasilan para anggota Proyek D saat mereka berusaha menjadi tim balap jalanan terbaik di luar Prefektur Gunma."
19,Monster,"Drama, Mystery, Suspense","Kenzou Tenma, seorang ahli bedah saraf elit yang baru saja bertunangan dengan putri direktur rumah sakitnya, sedang dalam perjalanan untuk menduduki jabatan di rumah sakit. Hingga suatu malam, sebuah kejadian kecil mengubah hidup Dr. Tenma selamanya. Saat bersiap untuk melakukan operasi pada seseorang, dia mendapat telepon dari direktur rumah sakit yang memintanya untuk mengganti pasien dan sebagai gantinya melakukan operasi otak yang menyelamatkan jiwa pada pemain terkenal. Rekan dokter, tunangan, dan direktur rumah sakit memuji pencapaiannya; namun karena peralihan tersebut, seorang pekerja imigran miskin meninggal, menyebabkan Dr. Tenma mengalami krisis hati nurani.

Jadi ketika situasi serupa muncul, Dr. Tenma tetap pada pendiriannya dan memilih untuk melakukan operasi pada anak laki-laki Johan Liebert daripada walikota kota tersebut. Sayangnya, pilihan ini membawa konsekuensi serius bagi Dr. Tenma—salah satunya adalah kehilangan status sosialnya. Namun, dengan kematian misterius direktur dan dua dokter lainnya, posisi Dr. Tenma dipulihkan. Karena tidak ada bukti untuk menghukumnya, dia dibebaskan dan menduduki posisi direktur rumah sakit. 

Sembilan tahun kemudian ketika Dr. Tenma menyelamatkan nyawa seorang penjahat, masa lalunya kembali menghantuinya—sekali lagi, dia berhadapan langsung dengan monster yang dia operasikan. Dia sekarang harus memulai pencarian untuk menebus kerusakan yang disebarkan oleh orang yang dia selamatkan."
